dimen,id,cr_date,name
Volume,637,2018-03-15 16:22:25,Top of Buffer
Volume,638,2018-03-15 16:22:26,Top of Inactive
Flow,639,2018-03-15 16:22:26,Max. Turbine Flow
distance,640,2018-03-15 16:22:26,Tailwater Elevation
dimensionless,641,2018-03-15 16:22:34,Generating Efficiency
Energy,642,2018-03-15 16:22:34,Energy Demand
Energy,643,2018-03-15 16:22:35,Electricity Revenue
dimensionless,644,2018-03-15 16:22:35,Priority seasonal
Volume,645,2018-03-15 16:22:43,Maximum Withdrawal
Volume,646,2018-03-15 16:22:43,Natural Recharge
Flow,647,2018-03-15 16:22:52,Headflow
Flow,648,2018-03-15 16:22:53,Groundwater Inflow
dimensionless,649,2018-03-15 16:22:53,Groundwater Outflow
Flow,650,2018-03-15 16:23:01,Maximum Diversion
distance,651,2018-03-15 16:23:01,Reach Length
Flow,652,2018-03-15 16:23:01,Surface Water Inflow
dimensionless,653,2018-03-15 16:23:02,Maximum Flow   Percent of Demand
dimensionless,654,2018-03-15 16:23:11,Return Flow Routing
dimensionless,655,2018-03-15 16:23:11,Gain from Groundwater
dimensionless,656,2018-03-15 16:23:20,Minimum Flow Requirement
Volume,657,2018-03-15 16:23:28,Streamflow Data
Concentration,658,2018-03-15 16:23:28,DO Concentration Data
Concentration,659,2018-03-15 16:23:28,BOD Concentration Data
dimensionless,660,2018-03-15 16:23:29,BOD Removal
Money,661,2018-03-15 16:23:29,DO Concentration
dimensionless,662,2018-03-15 16:23:37,Variable Operating Costs
Energy,663,2018-03-15 16:23:38,Plant Factor
Money,664,2018-03-15 16:23:38,Energy Demand
distance,665,2018-03-15 16:23:38,Electricity Revenue
Flow,666,2018-03-15 16:23:38,Fixed Head
Money,667,2018-03-15 16:23:46,Max Turbine Flow
dimensionless,668,2018-03-15 16:48:12,Top of Inactive
Flow,669,2018-03-15 17:16:10,Buffer Coefficient
percent,670,2018-03-15 17:16:10,Tailwater Elevation
Flow,671,2018-03-15 17:16:27,Maximum Flow   Volume
percent,672,2018-03-15 17:16:28,Loss from System
percent,673,2018-03-15 17:16:28,Loss to Groundwater
percent,674,2018-03-15 17:16:28,Gain from Groundwater
Concentration,675,2018-03-15 17:16:36,DO Removal
Concentration,676,2018-03-15 17:16:36,Daily Capacity
Flow,677,2018-03-15 17:16:37,Headflow_Time_Series
percent,678,2018-03-15 17:16:37,Headflow_Seasonal
Angle,679,2018-03-23 23:52:06,test
TimeSeries,680,2018-04-03 19:42:29,flow
NumericValues,681,2018-04-03 19:47:57,Priority
SeasonalNumericValues,682,2018-04-03 19:48:00,Priority seasonal
Flow,683,2018-04-03 19:52:24,flow
Volume,684,2018-04-05 18:00:39,Volume Elevation Curve
NumericValues,685,2018-04-05 18:40:22,Capacity
Flow,686,2018-04-05 18:44:04,Capacity
Flow,687,2018-04-05 18:44:14,Volume Elevation Curve
Volume,688,2018-04-09 23:22:07,flow
Volume,689,2018-04-09 23:22:07,Capacity
Volume,690,2018-04-11 21:40:30,Owner
dimensionless,691,2018-04-11 21:48:26,Owner
dimensionless,692,2018-04-25 18:28:47,DO Decrease
dimensionless,693,2018-04-25 18:28:47,BOD Decrease
dimensionless,694,2018-04-25 18:28:47,Annual Activity Level
dimensionless,695,2018-04-25 18:28:47,Annual Water Use Rate
dimensionless,696,2018-04-25 18:28:48,BOD Concentration
dimensionless,697,2018-04-25 18:28:48,BOD Inflow
dimensionless,698,2018-04-25 18:28:48,BOD Intensity
dimensionless,699,2018-04-25 18:28:48,Capital Costs
dimensionless,700,2018-04-25 18:28:49,DO Concentration
dimensionless,701,2018-04-25 18:28:49,DO Inflow
dimensionless,702,2018-04-25 18:28:49,DO Intensity
dimensionless,703,2018-04-25 18:28:49,DSM Cost
dimensionless,704,2018-04-25 18:28:49,DSM Savings
dimensionless,705,2018-04-25 18:28:50,Fixed Benefits
dimensionless,706,2018-04-25 18:28:50,Fixed Operating Costs
dimensionless,707,2018-04-25 18:28:50,Loss Rate
dimensionless,708,2018-04-25 18:28:50,Method
dimensionless,709,2018-04-25 18:28:50,Monthly Demand
dimensionless,710,2018-04-25 18:28:50,Monthly Variation
dimensionless,711,2018-04-25 18:28:51,Reuse Rate
dimensionless,712,2018-04-25 18:28:51,Variable Benefits
dimensionless,713,2018-04-25 18:28:52,Buffer Priority
dimensionless,714,2018-04-25 18:28:52,Electricity Revenue
dimensionless,715,2018-04-25 18:28:53,Energy Demand
dimensionless,716,2018-04-25 18:28:54,Initial Storage
dimensionless,717,2018-04-25 18:28:54,Max. Turbine Flow
dimensionless,718,2018-04-25 18:28:54,Maximum Hydraulic Outflow
dimensionless,719,2018-04-25 18:28:55,Observed Volume
dimensionless,720,2018-04-25 18:28:55,Plant Factor
dimensionless,721,2018-04-25 18:28:55,Storage Capacity
dimensionless,722,2018-04-25 18:28:55,Tailwater Elevation
dimensionless,723,2018-04-25 18:28:56,Temperature
dimensionless,724,2018-04-25 18:28:56,Top of Buffer
dimensionless,725,2018-04-25 18:28:56,Top of Conservation
dimensionless,726,2018-04-25 18:28:57,Volume-Curve
dimensionless,727,2018-04-25 18:28:58,Distance Marker
dimensionless,728,2018-04-25 18:28:58,Flow Stage Width
dimensionless,729,2018-04-25 18:28:59,Groundwater Inflow
dimensionless,730,2018-04-25 18:28:59,Reach Length
dimensionless,731,2018-04-25 18:28:59,River Flooding Fraction
dimensionless,732,2018-04-25 18:28:59,River Flooding Threshold
dimensionless,733,2018-04-25 18:28:59,Surface Water Inflow
dimensionless,734,2018-04-25 18:29:01,Maximum Flow   Volume
dimensionless,735,2018-04-25 18:29:02,Supply Preference
dimensionless,736,2018-04-25 18:29:05,BOD Concentration Data
dimensionless,737,2018-04-25 18:29:05,DO Concentration Data
dimensionless,738,2018-04-25 18:29:05,Streamflow Data
dimensionless,739,2018-04-25 18:29:06,Headflow
dimensionless,740,2018-04-25 18:29:06,Model Water Quality?
Volume,741,2018-04-25 18:40:29,Annual Activity Level
percent,742,2018-04-25 18:40:29,BOD Concentration
percent,743,2018-04-25 18:40:30,BOD Inflow
percent,744,2018-04-25 18:40:30,BOD Intensity
Concentration,745,2018-04-25 18:40:30,Capital Costs
Concentration,746,2018-04-25 18:40:30,Consumption
Money,747,2018-04-25 18:40:31,DSM Cost
Money,748,2018-04-25 18:40:31,DSM Savings
Money,749,2018-04-25 18:40:31,Demand Priority
