dimen,id,cr_date,name
TimeSeries,278,3/12/2018 20:07,Initial Storage
MultiAttributeSeries,279,3/12/2018 20:07,Volume Elevation Curve
AttributeSeries,280,3/12/2018 20:07,Volume-Curve
AttributeSeries,281,3/12/2018 20:07,Elevation-Curve
SeasonalNumericValues,282,3/12/2018 20:07,Maximum Hydraulic Outflow
SeasonalNumericValues,283,3/12/2018 20:07,Net Evaporation
SeasonalNumericValues,284,3/12/2018 20:07,Priority
TimeSeries,285,3/12/2018 20:07,Loss to Groundwater
TimeSeries,286,3/12/2018 20:07,Observed Volume
SeasonalNumericValues,287,3/12/2018 20:07,Top of Conservation
TimeSeries,288,3/12/2018 20:07,Top of Buffer
TimeSeries,289,3/12/2018 20:07,Top of Inactive
TimeSeries,290,3/12/2018 20:07,Buffer Coefficient
TimeSeries,291,3/12/2018 20:07,Max. Turbine Flow
TimeSeries,292,3/12/2018 20:07,Tailwater Elevation
TimeSeries,293,3/12/2018 20:07,Plant Factor
TimeSeries,294,3/12/2018 20:07,Generating Efficiency
TimeSeries,295,3/12/2018 20:07,Hydropower Priority
TimeSeries,296,3/12/2018 20:07,Energy Demand
TimeSeries,297,3/12/2018 20:07,Electricity Revenue
NumericValues,298,3/12/2018 20:07,Priority seasonal
SeasonalNumericValues,299,3/12/2018 20:07,Priority_seasonal
TimeSeries,300,3/12/2018 20:07,Storage Capacity
TimeSeries,301,3/12/2018 20:07,Maximum Withdrawal
TimeSeries,302,3/12/2018 20:07,Natural Recharge
TimeSeries,303,3/12/2018 20:07,Headflow
TimeSeries,304,3/12/2018 20:07,Evaporation
TimeSeries,305,3/12/2018 20:07,Groundwater Inflow
TimeSeries,306,3/12/2018 20:07,Groundwater Outflow
ElectronicFiles,307,3/12/2018 20:07,Maximum Diversion
TimeSeries,308,3/12/2018 20:08,Reach Length
TimeSeries,309,3/12/2018 20:08,Surface Water Inflow
TimeSeries,310,3/12/2018 20:08,Water Temperature
TimeSeries,311,3/12/2018 20:08,Maximum Flow   Volume
TimeSeries,312,3/12/2018 20:08,Maximum Flow   Percent of Demand
TimeSeries,313,3/12/2018 20:08,Loss from System
TimeSeries,314,3/12/2018 20:08,Return Flow Routing
NumericValues,315,3/12/2018 20:08,Loss from System
SeasonalNumericValues,316,3/12/2018 20:08,Loss to Groundwater
NumericValues,317,3/12/2018 20:08,Gain from Groundwater
SeasonalNumericValues,318,3/12/2018 20:08,Minimum Flow Requirement
TimeSeries,319,3/12/2018 20:08,Priority
TimeSeries,320,3/12/2018 20:08,Streamflow Data
TimeSeries,321,3/12/2018 20:08,DO Concentration Data
TimeSeries,322,3/12/2018 20:08,BOD Concentration Data
TimeSeries,323,3/12/2018 20:08,BOD Removal
TimeSeries,324,3/12/2018 20:08,Consumption
TimeSeries,325,3/12/2018 20:08,DO Removal
TimeSeries,326,3/12/2018 20:08,Daily Capacity
TimeSeries,327,3/12/2018 20:08,Fixed Head
TimeSeries,328,3/12/2018 20:08,Max Turbine Flow
TimeSeries,329,3/12/2018 20:08,Headflow_Time_Series
SeasonalNumericValues,330,3/12/2018 20:08,Headflow_Seasonal
Volume,331,3/12/2018 22:02,Monthly Demand
Volume,332,3/12/2018 22:21,Headflow
dimensionless,333,3/13/2018 0:44,Volume Elevation Curve
-,334,3/13/2018 17:40,Definitions
-,335,3/13/2018 17:40,Sqeuence
-,336,3/13/2018 17:40,DO Decrease
-,337,3/13/2018 17:40,BOD Decrease
-,338,3/13/2018 17:40,Monthly Demand
-,339,3/13/2018 17:40,Monthly DemandS
-,340,3/13/2018 17:40,Annual Water Use Rate
-,341,3/13/2018 17:40,Monthly Variation
-,342,3/13/2018 17:40,Consumption
-,343,3/13/2018 17:40,Loss Rate
-,344,3/13/2018 17:40,DO Inflow
-,345,3/13/2018 17:40,BOD Inflow
-,346,3/13/2018 17:40,BOD Intensity
-,347,3/13/2018 17:40,DO Intensity
-,348,3/13/2018 17:40,DO Concentration
-,349,3/13/2018 17:40,BOD Concentration
-,350,3/13/2018 17:40,Capital Costs
-,351,3/13/2018 17:40,Variable Operating Costs
-,352,3/13/2018 17:40,Fixed Operating Costs
-,353,3/13/2018 17:40,Variable Benefits
-,354,3/13/2018 17:40,Fixed Benefits
-,355,3/13/2018 17:40,Demand Priority
-,356,3/13/2018 17:40,Storage Capacity
-,357,3/13/2018 17:40,Initial Storage
-,358,3/13/2018 17:40,Volume Elevation Curve
-,359,3/13/2018 17:40,Volume-Curve
-,360,3/13/2018 17:40,Elevation-Curve
-,361,3/13/2018 17:40,Maximum Hydraulic Outflow
-,362,3/13/2018 17:40,Net Evaporation
-,363,3/13/2018 17:40,Priority
-,364,3/13/2018 17:40,Loss to Groundwater
-,365,3/13/2018 17:40,Observed Volume
-,366,3/13/2018 17:40,Top of Conservation
-,367,3/13/2018 17:40,Top of Buffer
-,368,3/13/2018 17:40,Top of Inactive
-,369,3/13/2018 17:40,Buffer Coefficient
-,370,3/13/2018 17:40,Max. Turbine Flow
-,371,3/13/2018 17:40,Tailwater Elevation
-,372,3/13/2018 17:40,Plant Factor
-,373,3/13/2018 17:40,Generating Efficiency
-,374,3/13/2018 17:40,Hydropower Priority
-,375,3/13/2018 17:40,Energy Demand
-,376,3/13/2018 17:40,Electricity Revenue
-,377,3/13/2018 17:40,Priority seasonal
-,378,3/13/2018 17:40,Maximum Withdrawal
-,379,3/13/2018 17:40,Natural Recharge
-,380,3/13/2018 17:40,Headflow
-,381,3/13/2018 17:40,Evaporation
-,382,3/13/2018 17:40,Groundwater Inflow
-,383,3/13/2018 17:40,Groundwater Outflow
-,384,3/13/2018 17:40,Maximum Diversion
-,385,3/13/2018 17:40,Reach Length
-,386,3/13/2018 17:40,Surface Water Inflow
-,387,3/13/2018 17:40,Water Temperature
-,388,3/13/2018 17:40,Maximum Flow   Volume
-,389,3/13/2018 17:40,Maximum Flow   Percent of Demand
-,390,3/13/2018 17:40,Loss from System
-,391,3/13/2018 17:40,Return Flow Routing
-,392,3/13/2018 17:40,Gain from Groundwater
-,393,3/13/2018 17:40,Minimum Flow Requirement
-,394,3/13/2018 17:40,Streamflow Data
-,395,3/13/2018 17:40,DO Concentration Data
-,396,3/13/2018 17:40,BOD Concentration Data
-,397,3/13/2018 17:40,BOD Removal
-,398,3/13/2018 17:40,DO Removal
-,399,3/13/2018 17:40,Daily Capacity
-,400,3/13/2018 17:40,Fixed Head
-,401,3/13/2018 17:40,Max Turbine Flow
-,402,3/13/2018 17:40,Headflow_Time_Series
-,403,3/13/2018 17:40,Headflow_Seasonal
Volumetric flow rate,404,3/13/2018 17:47,Capital Costs
unknown,405,3/13/2018 18:55,Definitions
unknown,406,3/13/2018 18:55,Sqeuence
unknown,407,3/13/2018 18:55,DO Decrease
unknown,408,3/13/2018 18:55,BOD Decrease
unknown,409,3/13/2018 18:55,Monthly Demand
unknown,410,3/13/2018 18:55,Monthly DemandS
unknown,411,3/13/2018 18:55,Annual Water Use Rate
unknown,412,3/13/2018 18:55,Monthly Variation
unknown,413,3/13/2018 18:55,Consumption
unknown,414,3/13/2018 18:55,Loss Rate
unknown,415,3/13/2018 18:55,DO Inflow
unknown,416,3/13/2018 18:55,BOD Inflow
unknown,417,3/13/2018 18:55,BOD Intensity
unknown,418,3/13/2018 18:55,DO Intensity
unknown,419,3/13/2018 18:55,DO Concentration
unknown,420,3/13/2018 18:55,BOD Concentration
unknown,421,3/13/2018 18:55,Capital Costs
unknown,422,3/13/2018 18:55,Variable Operating Costs
unknown,423,3/13/2018 18:55,Fixed Operating Costs
unknown,424,3/13/2018 18:55,Variable Benefits
unknown,425,3/13/2018 18:55,Fixed Benefits
